,open,high,low,close,volume,rsi
2022-02-11 03:00:00-06:00,18.37,18.5,18.22,18.31,3852,
2022-02-11 03:05:00-06:00,18.31,18.36,18.31,18.35,3606,
2022-02-11 03:10:00-06:00,18.35,18.35,18.35,18.35,100,
2022-02-11 03:15:00-06:00,18.38,18.42,18.36,18.36,870,
2022-02-11 03:20:00-06:00,18.48,18.5,18.42,18.42,1422,
2022-02-11 03:25:00-06:00,18.37,18.38,18.37,18.38,910,
2022-02-11 03:30:00-06:00,18.4,18.4,18.39,18.4,1290,
2022-02-11 03:40:00-06:00,18.4,18.4,18.4,18.4,628,
2022-02-11 03:45:00-06:00,18.42,18.43,18.42,18.43,568,
2022-02-11 03:50:00-06:00,18.45,18.45,18.45,18.45,403,
2022-02-11 03:55:00-06:00,18.48,18.5,18.47,18.47,1786,
2022-02-11 04:00:00-06:00,18.49,18.49,18.49,18.49,1188,
2022-02-11 04:05:00-06:00,18.51,18.51,18.51,18.51,317,
2022-02-11 04:10:00-06:00,18.59,18.59,18.53,18.53,1104,
2022-02-11 04:15:00-06:00,18.51,18.56,18.5,18.56,1252,87.87878787878725
2022-02-11 04:25:00-06:00,18.57,18.57,18.42,18.42,4033,60.320000000000285
2022-02-11 04:30:00-06:00,18.42,18.42,18.42,18.42,662,60.3200000000003
2022-02-11 05:05:00-06:00,18.43,18.43,18.41,18.41,1474,58.792643652705166
2022-02-11 05:10:00-06:00,18.39,18.39,18.39,18.39,101,55.75207538355822
2022-02-11 05:20:00-06:00,18.39,18.39,18.39,18.39,1012,55.75207538355822
2022-02-11 05:30:00-06:00,18.41,18.41,18.41,18.41,540,58.255858304455984
2022-02-11 05:35:00-06:00,18.41,18.41,18.41,18.41,364,58.25585830445598
2022-02-11 05:45:00-06:00,18.41,18.41,18.41,18.41,1290,58.25585830445598
2022-02-11 05:50:00-06:00,18.44,18.48,18.44,18.48,433,66.53395128958195
2022-02-11 06:00:00-06:00,18.46,18.46,18.38,18.45,6310,60.955006724882075
2022-02-11 06:05:00-06:00,18.48,18.5,18.48,18.5,3030,66.0626452222081
2022-02-11 06:10:00-06:00,18.55,18.6,18.55,18.57,4479,71.65337903432565
2022-02-11 06:15:00-06:00,18.56,18.58,18.56,18.57,835,71.65337903432565
2022-02-11 06:20:00-06:00,18.59,18.64,18.59,18.63,5464,75.64225461325948
2022-02-11 06:25:00-06:00,18.62,18.69,18.62,18.69,12654,78.8477198196209
2022-02-11 06:30:00-06:00,18.7,18.75,18.7,18.75,11936,81.47336061923312
2022-02-11 06:35:00-06:00,18.75,18.75,18.67,18.73,8843,77.99780738615544
