,open,high,low,close,volume,rsi
2022-02-11 03:00:00-06:00,3.41,3.41,3.41,3.41,1988,
2022-02-11 03:05:00-06:00,3.47,3.47,3.4,3.4,1648,
2022-02-11 03:10:00-06:00,3.4,3.43,3.39,3.41,15811,
2022-02-11 03:15:00-06:00,3.45,3.46,3.45,3.46,632,
2022-02-11 03:20:00-06:00,3.46,3.46,3.46,3.46,638,
2022-02-11 03:25:00-06:00,3.46,3.46,3.45,3.45,307,
2022-02-11 03:30:00-06:00,3.43,3.43,3.35,3.35,114414,
2022-02-11 03:35:00-06:00,3.35,3.4,3.35,3.37,10912,
2022-02-11 03:40:00-06:00,3.36,3.36,3.35,3.35,2866,
2022-02-11 03:45:00-06:00,3.35,3.36,3.35,3.36,1345,
2022-02-11 03:50:00-06:00,3.35,3.35,3.35,3.35,1424,
2022-02-11 03:55:00-06:00,3.34,3.34,3.34,3.34,4004,
2022-02-11 04:00:00-06:00,3.35,3.35,3.35,3.35,1544,
2022-02-11 04:05:00-06:00,3.35,3.36,3.35,3.36,2729,
2022-02-11 04:10:00-06:00,3.36,3.36,3.36,3.36,249,40.74074074074069
2022-02-11 04:20:00-06:00,3.35,3.36,3.35,3.36,2179,40.74074074074069
2022-02-11 04:25:00-06:00,3.36,3.38,3.36,3.38,2421,45.4288597376387
2022-02-11 04:35:00-06:00,3.37,3.4,3.36,3.4,23155,49.71317396964362
2022-02-11 04:45:00-06:00,3.39,3.39,3.39,3.39,3160,47.69683948245008
2022-02-11 04:50:00-06:00,3.38,3.38,3.37,3.37,2401,43.86486537154607
2022-02-11 04:55:00-06:00,3.38,3.38,3.38,3.38,223,46.19258043280736
2022-02-11 05:00:00-06:00,3.37,3.39,3.37,3.38,994,46.19258043280736
2022-02-11 05:05:00-06:00,3.39,3.39,3.38,3.38,2819,46.19258043280736
2022-02-11 05:10:00-06:00,3.38,3.38,3.37,3.38,2292,46.192580432807354
2022-02-11 05:15:00-06:00,3.36,3.37,3.36,3.37,2278,43.75232697095493
2022-02-11 05:20:00-06:00,3.38,3.38,3.37,3.37,367,43.75232697095494
2022-02-11 05:25:00-06:00,3.36,3.37,3.36,3.36,1226,41.22647287096915
2022-02-11 05:30:00-06:00,3.36,3.36,3.36,3.36,937,41.22647287096915
2022-02-11 05:35:00-06:00,3.36,3.38,3.36,3.38,5576,48.16728691588772
2022-02-11 05:40:00-06:00,3.38,3.38,3.38,3.38,3237,48.167286915887715
2022-02-11 05:45:00-06:00,3.37,3.37,3.37,3.37,502,45.08016671750464
2022-02-11 05:55:00-06:00,3.39,3.39,3.39,3.39,823,51.741886680028685
2022-02-11 06:00:00-06:00,3.4,3.4,3.38,3.38,9366,48.569572922918745
2022-02-11 06:05:00-06:00,3.38,3.38,3.37,3.37,10277,45.5613166986717
2022-02-11 06:10:00-06:00,3.38,3.38,3.38,3.38,700,48.965398226649924
2022-02-11 06:15:00-06:00,3.37,3.37,3.36,3.36,1316,43.153440509526746
2022-02-11 06:20:00-06:00,3.37,3.37,3.37,3.37,462,46.568403443097104
2022-02-11 06:25:00-06:00,3.37,3.37,3.37,3.37,2038,46.568403443097104
2022-02-11 06:30:00-06:00,3.37,3.37,3.36,3.37,1213,46.568403443097104
2022-02-11 06:35:00-06:00,3.37,3.37,3.36,3.36,3680,43.31822982864092
2022-02-11 06:40:00-06:00,3.37,3.38,3.36,3.38,5742,50.72541002028985
2022-02-11 06:45:00-06:00,3.38,3.38,3.37,3.37,1310,47.39070543961681
2022-02-11 06:50:00-06:00,3.38,3.38,3.36,3.36,12181,44.257402376014305
2022-02-11 06:55:00-06:00,3.37,3.37,3.36,3.37,3512,47.96258507189621
2022-02-11 07:00:00-06:00,3.3699,3.37,3.36,3.37,57181,47.9625850718962
2022-02-11 07:05:00-06:00,3.37,3.43,3.37,3.39,54839,54.91386521631652
2022-02-11 07:10:00-06:00,3.39,3.41,3.39,3.4,43976,57.93925103616019
2022-02-11 07:15:00-06:00,3.4,3.4,3.3999,3.4,8159,57.93925103616019
2022-02-11 07:20:00-06:00,3.4,3.41,3.4,3.41,23559,60.976194759649125
2022-02-11 07:25:00-06:00,3.41,3.42,3.4,3.42,27651,63.79167726711812
2022-02-11 07:30:00-06:00,3.42,3.42,3.4,3.41,75958,59.19255468306437
2022-02-11 07:35:00-06:00,3.4,3.41,3.4,3.41,50392,59.19255468306437
2022-02-11 07:40:00-06:00,3.41,3.41,3.4,3.41,17861,59.19255468306437
2022-02-11 07:45:00-06:00,3.41,3.41,3.3999,3.4,70725,54.30279827966403
2022-02-11 07:50:00-06:00,3.39,3.4,3.38,3.4,78509,54.30279827966403
2022-02-11 07:55:00-06:00,3.4,3.42,3.39,3.41,47959,58.298064463618985
2022-02-11 08:00:00-06:00,3.4,3.42,3.4,3.41,70551,58.29806446361899
2022-02-11 08:05:00-06:00,3.41,3.41,3.4,3.41,8929,58.29806446361899
2022-02-11 08:10:00-06:00,3.41,3.41,3.4,3.41,25165,58.29806446361899
2022-02-11 08:15:00-06:00,3.4,3.41,3.4,3.41,49942,58.298064463619006
2022-02-11 08:20:00-06:00,3.4,3.41,3.4,3.4,5628,51.744953384641725
2022-02-11 08:25:00-06:00,3.41,3.41,3.4,3.4,45601,51.74495338464171
2022-02-11 08:30:00-06:00,3.4000000953674316,3.4100000858306885,3.370500087738037,3.384999990463257,1865665,43.28135341841325
2022-02-11 08:35:00-06:00,3.3808000087738037,3.390000104904175,3.2899999618530273,3.329900026321411,1107965,26.27825389360658
2022-02-11 08:40:00-06:00,3.3299999237060547,3.359999895095825,3.2799999713897705,3.348099946975708,722854,35.317220823729556
2022-02-11 08:45:00-06:00,3.34089994430542,3.4000000953674316,3.340100049972534,3.3880999088287354,608156,49.86609749792601
2022-02-11 08:50:00-06:00,3.390000104904175,3.4000000953674316,3.359999895095825,3.359999895095825,419899,42.61455513620353
2022-02-11 08:55:00-06:00,3.365000009536743,3.3685998916625977,3.309999942779541,3.3299999237060547,517002,36.510219045846114
2022-02-11 09:00:00-06:00,3.339900016784668,3.390000104904175,3.3299999237060547,3.3754000663757324,269407,48.526840154653975
2022-02-11 09:05:00-06:00,3.372999906539917,3.4000000953674316,3.3499999046325684,3.3598999977111816,587454,45.36962066488378
2022-02-11 09:10:00-06:00,3.359999895095825,3.390000104904175,3.3399999141693115,3.3499999046325684,237495,43.426208082554524
2022-02-11 09:15:00-06:00,3.3519999980926514,3.365000009536743,3.319999933242798,3.351900100708008,199232,43.92272107387398
2022-02-11 09:20:00-06:00,3.358299970626831,3.380000114440918,3.3450000286102295,3.369999885559082,170820,48.55425126079297
2022-02-11 09:25:00-06:00,3.369999885559082,3.4000000953674316,3.3698999881744385,3.398099899291992,248407,54.79632776719915
2022-02-11 09:30:00-06:00,3.3949999809265137,3.4000000953674316,3.369999885559082,3.3701000213623047,175007,48.483706968107526
2022-02-11 09:35:00-06:00,3.3798999786376953,3.390000104904175,3.369999885559082,3.3854000568389893,172391,51.754379945181114
2022-02-11 09:40:00-06:00,3.3808999061584473,3.390000104904175,3.369999885559082,3.3798999786376953,193815,50.5128547390968
2022-02-11 09:45:00-06:00,3.3773000240325928,3.380000114440918,3.3399999141693115,3.3399999141693115,267841,42.54028629752343
2022-02-11 09:50:00-06:00,3.3399999141693115,3.380000114440918,3.3399999141693115,3.369999885559082,192117,49.05146971883278
2022-02-11 09:55:00-06:00,3.359999895095825,3.3698999881744385,3.3399999141693115,3.3499999046325684,280728,45.36107174377532
2022-02-11 10:00:00-06:00,3.3408000469207764,3.380000114440918,3.331700086593628,3.359999895095825,232689,47.48838403636851
2022-02-11 10:05:00-06:00,3.365000009536743,3.369999885559082,3.3399999141693115,3.3399999141693115,192071,43.81421766337799
2022-02-11 10:10:00-06:00,3.3399999141693115,3.3499999046325684,3.319999933242798,3.321199893951416,257370,40.63184260279789
