,open,high,low,close,volume,rsi
2022-02-11 03:00:00-06:00,255.32,255.5,255.06,255.06,4138,
2022-02-11 03:10:00-06:00,255.5,255.78,255.5,255.78,1996,
2022-02-11 03:15:00-06:00,256.03,256.03,256.03,256.03,660,
2022-02-11 03:25:00-06:00,256.03,256.03,256.03,256.03,1118,
2022-02-11 03:30:00-06:00,256.03,256.03,255.66,255.66,4740,
2022-02-11 03:35:00-06:00,255.5,255.5,255.29,255.29,1190,
2022-02-11 03:40:00-06:00,255.33,255.33,255.04,255.27,3067,
2022-02-11 03:45:00-06:00,255.35,255.42,255.15,255.15,1797,
2022-02-11 03:50:00-06:00,255.01,255.01,255.0,255.0,1706,
2022-02-11 03:55:00-06:00,255.0,255.01,254.74,254.74,2769,
2022-02-11 04:05:00-06:00,255.1,255.1,255.0,255.0,2176,
2022-02-11 04:10:00-06:00,255.0,255.0,255.0,255.0,405,
2022-02-11 04:15:00-06:00,254.82,254.82,254.82,254.82,259,
2022-02-11 04:20:00-06:00,255.0,255.0,255.0,255.0,828,
2022-02-11 04:25:00-06:00,255.27,255.27,255.27,255.27,161,53.33333333333351
2022-02-11 04:30:00-06:00,255.0,255.0,254.91,254.91,554,47.48858447488573
2022-02-11 04:40:00-06:00,255.48,256.34,255.48,256.3,4182,63.92664682699284
2022-02-11 04:55:00-06:00,256.55,256.55,256.55,256.55,733,65.98883502791257
2022-02-11 05:00:00-06:00,256.47,256.47,256.47,256.47,637,64.71394040258242
2022-02-11 05:15:00-06:00,255.82,256.14,255.82,256.0,3952,57.665219241598905
2022-02-11 05:20:00-06:00,255.78,255.78,255.78,255.78,229,54.66383178207499
2022-02-11 05:25:00-06:00,255.5,255.52,255.5,255.5,1254,51.023833061789944
2022-02-11 05:30:00-06:00,255.7,255.7,255.7,255.7,106,53.41025974639189
2022-02-11 05:40:00-06:00,255.94,256.0,255.94,256.0,1708,56.809831011706315
2022-02-11 05:45:00-06:00,255.71,255.71,255.7,255.7,723,52.67089031887691
2022-02-11 05:55:00-06:00,255.76,255.76,255.7,255.7,950,52.67089031887691
2022-02-11 06:00:00-06:00,255.65,256.5,255.06,256.25,12208,59.01918526062639
2022-02-11 06:05:00-06:00,256.2,257.3,256.05,257.3,10208,67.87747257733702
2022-02-11 06:10:00-06:00,257.35,257.78,257.2,257.68,8094,70.37338948531747
2022-02-11 06:15:00-06:00,257.9,257.92,257.5,257.7,7654,70.50329422982114
2022-02-11 06:20:00-06:00,257.9,258.4,257.9,258.05,20981,72.75471722164323
2022-02-11 06:25:00-06:00,258.28,259.2,258.28,259.0,9342,77.72462985584271
2022-02-11 06:30:00-06:00,258.86,259.48,258.86,259.0,18144,77.72462985584271
2022-02-11 06:35:00-06:00,258.87,259.62,258.8,259.62,13630,80.4270407196454
2022-02-11 06:40:00-06:00,259.4,259.55,258.73,258.73,9814,67.72537034860109
2022-02-11 06:45:00-06:00,258.73,258.81,258.2,258.6,15888,66.08368091417128
2022-02-11 06:50:00-06:00,258.57,258.7,258.4,258.4,5434,63.53212933111272
2022-02-11 06:55:00-06:00,258.7,259.4,258.7,259.22,13409,68.84371651045954
2022-02-11 07:00:00-06:00,259.25,259.3,258.68,259.24,11873,68.962457880798
2022-02-11 07:05:00-06:00,259.24,259.651,259.24,259.3,16272,69.33997345628225
2022-02-11 07:10:00-06:00,259.44,259.88,259.02,259.65,14304,71.5163995072407
2022-02-11 07:15:00-06:00,259.77,260.25,259.6,260.25,10474,74.81668947422094
2022-02-11 07:20:00-06:00,260.0,260.75,260.0,260.5,26499,76.06129386422649
2022-02-11 07:25:00-06:00,260.5,260.74,259.55,260.2,28821,71.49503705463135
2022-02-11 07:30:00-06:00,260.23,260.59,260.15,260.3,9607,72.09637780583084
2022-02-11 07:35:00-06:00,260.4,260.74,260.3,260.49,20166,73.25101551805695
2022-02-11 07:40:00-06:00,260.466,260.9,260.466,260.7,21834,74.50664781480738
2022-02-11 07:45:00-06:00,260.84,260.94,260.2,260.8,14120,75.1059099318965
2022-02-11 07:50:00-06:00,260.92,260.99,260.51,260.51,16418,69.96926141584862
2022-02-11 07:55:00-06:00,260.712,261.2,260.712,260.74,32593,71.62667354858645
2022-02-11 08:00:00-06:00,260.97,261.55,260.7,261.55,158232,76.53774373104916
2022-02-11 08:05:00-06:00,261.46,261.46,260.5,260.63,29365,63.164762247635764
2022-02-11 08:10:00-06:00,260.65,260.8,259.8,260.4,24542,60.32691885840718
2022-02-11 08:15:00-06:00,260.45,260.45,259.91,260.2,12600,57.89127644967531
2022-02-11 08:20:00-06:00,260.05,260.05,259.5,260.0,16199,55.47906061063696
2022-02-11 08:25:00-06:00,259.97,260.92,259.03,259.22,47917,47.21599055160029
2022-02-11 08:30:00-06:00,260.0,261.5199890136719,258.8100891113281,258.8699951171875,2167085,44.04582958669208
2022-02-11 08:35:00-06:00,258.79998779296875,258.8800048828125,256.9093933105469,257.3870849609375,936527,33.716718853516916
2022-02-11 08:40:00-06:00,257.3232116699219,257.3999938964844,255.360107421875,255.5399932861328,1002305,25.648489612610398
2022-02-11 08:45:00-06:00,255.5500030517578,258.3999938964844,255.5,256.32000732421875,1128938,32.94572032791627
2022-02-11 08:50:00-06:00,256.30999755859375,256.989990234375,255.55999755859375,255.97259521484375,1216016,31.46451084651748
2022-02-11 08:55:00-06:00,256.069091796875,256.2300109863281,253.07000732421875,253.41000366210938,1232959,23.18445187083908
2022-02-11 09:00:00-06:00,253.3800048828125,255.10000610351562,252.83999633789062,254.8419952392578,1029129,33.686210840599145
2022-02-11 09:05:00-06:00,254.80999755859375,256.3299865722656,253.610107421875,253.88999938964844,915435,30.682973643059768
2022-02-11 09:10:00-06:00,253.85000610351562,254.55479431152344,252.0,252.99000549316406,967241,28.129730168386484
2022-02-11 09:15:00-06:00,252.9678955078125,253.27000427246094,251.5,252.4199981689453,860603,26.618917133328594
2022-02-11 09:20:00-06:00,252.44000244140625,253.35989379882812,252.10069274902344,252.1699981689453,855082,25.96035014290211
2022-02-11 09:25:00-06:00,252.17999267578125,252.91000366210938,250.83999633789062,252.54989624023438,927599,28.841386986569816
2022-02-11 09:30:00-06:00,252.49989318847656,254.05999755859375,251.72999572753906,252.58999633789062,997787,29.154757530868526
2022-02-11 09:35:00-06:00,252.6201934814453,255.0500030517578,251.67010498046875,254.6199951171875,806085,42.87067390206209
2022-02-11 09:40:00-06:00,254.6199951171875,255.19000244140625,253.37010192871094,253.5,564249,38.44792686054576
2022-02-11 09:45:00-06:00,253.56500244140625,254.0,252.30999755859375,252.5220947265625,516297,35.04806566788077
2022-02-11 09:50:00-06:00,252.5697021484375,252.87550354003906,251.35580444335938,252.02999877929688,633263,33.44533166905746
2022-02-11 09:55:00-06:00,252.02999877929688,252.5,250.42999267578125,250.55999755859375,700664,29.156100745045045
2022-02-11 10:00:00-06:00,250.55999755859375,252.49000549316406,250.39999389648438,252.26820373535156,777740,38.95352255552954
2022-02-11 10:05:00-06:00,252.2303924560547,252.24000549316406,250.1199951171875,250.38999938964844,608062,33.47224897328103
2022-02-11 10:10:00-06:00,250.38999938964844,251.0500030517578,249.1300048828125,249.24000549316406,904670,30.630257516865676
2022-02-11 10:15:00-06:00,249.24000549316406,249.8300018310547,248.57000732421875,249.6616973876953,1043149,32.88070890927666
2022-02-11 10:20:00-06:00,249.61000061035156,250.0,248.8000030517578,249.10450744628906,571241,31.429820046727762
2022-02-11 10:25:00-06:00,249.1300048828125,250.02679443359375,248.75,249.39999389648438,555046,33.11535736298073
2022-02-11 10:30:00-06:00,249.4250030517578,250.1999969482422,248.35000610351562,248.35000610351562,545463,30.268142660748577
2022-02-11 10:35:00-06:00,248.35000610351562,249.0507049560547,247.77000427246094,248.00999450683594,661883,29.387011899306533
2022-02-11 10:40:00-06:00,248.00999450683594,248.60000610351562,247.83999633789062,248.50999450683594,417514,32.498916626354635
2022-02-11 10:45:00-06:00,248.5,249.1699981689453,247.83999633789062,248.60000610351562,585989,33.07075170667388
