,open,high,low,close,volume,rsi
2022-02-11 03:00:00-06:00,36.99,36.99,36.58,36.89,1790,
2022-02-11 03:05:00-06:00,36.74,36.74,36.74,36.74,908,
2022-02-11 03:20:00-06:00,36.86,37.01,36.86,37.0,1352,
2022-02-11 03:30:00-06:00,37.0,37.0,37.0,37.0,190,
2022-02-11 03:40:00-06:00,36.9,36.9,36.9,36.9,311,
2022-02-11 03:50:00-06:00,37.04,37.04,37.04,37.04,296,
2022-02-11 04:05:00-06:00,36.94,36.94,36.94,36.94,277,
2022-02-11 04:20:00-06:00,36.92,36.92,36.92,36.92,446,
2022-02-11 04:30:00-06:00,36.99,36.99,36.99,36.99,115,
2022-02-11 05:00:00-06:00,37.02,37.02,37.02,37.02,119,
2022-02-11 05:10:00-06:00,37.1,37.1,37.1,37.1,147,
2022-02-11 05:20:00-06:00,37.1,37.1,37.1,37.1,206,
2022-02-11 05:25:00-06:00,37.1,37.1,37.1,37.1,134,
2022-02-11 05:30:00-06:00,37.1,37.1,37.1,37.1,301,
2022-02-11 05:40:00-06:00,37.1,37.1,37.1,37.1,912,61.052631578947455
2022-02-11 05:45:00-06:00,37.03,37.03,37.0,37.0,794,54.83636363636363
2022-02-11 06:00:00-06:00,36.87,36.87,36.87,36.87,296,47.99490770210043
2022-02-11 06:05:00-06:00,36.77,36.85,36.77,36.85,952,47.022919918667725
2022-02-11 06:10:00-06:00,36.89,36.95,36.89,36.95,7084,52.231960606001
2022-02-11 06:15:00-06:00,36.95,36.95,36.91,36.91,220,50.10952420375423
2022-02-11 06:20:00-06:00,36.99,36.99,36.97,36.99,1411,54.124592794736394
2022-02-11 06:25:00-06:00,37.0,37.39,36.99,37.3,11388,65.65799346933916
2022-02-11 06:30:00-06:00,37.27,37.27,37.27,37.27,617,63.981596885689996
2022-02-11 06:35:00-06:00,37.23,37.24,37.23,37.24,1058,62.26941986633546
2022-02-11 06:40:00-06:00,37.11,37.11,37.0,37.0,3491,50.60284890765274
2022-02-11 06:45:00-06:00,37.02,37.08,36.91,36.91,1833,47.04339773592952
2022-02-11 06:50:00-06:00,37.0,37.01,37.0,37.0,1657,50.77247000886764
2022-02-11 06:55:00-06:00,37.03,37.03,37.01,37.01,837,51.183796670670745
2022-02-11 07:00:00-06:00,36.9813,37.04,36.98,37.04,5079,52.46695541025361
2022-02-11 07:05:00-06:00,37.03,37.04,37.03,37.04,5835,52.46695541025361
2022-02-11 07:10:00-06:00,36.94,37.0,36.94,37.0,2496,50.41764817333652
2022-02-11 07:15:00-06:00,37.1,37.1,37.1,37.1,2220,55.13554361933907
2022-02-11 07:20:00-06:00,37.15,37.25,37.14,37.2,26803,59.305587768856014
2022-02-11 07:25:00-06:00,37.2,37.22,37.18,37.18,8537,58.141622375162974
2022-02-11 07:30:00-06:00,37.18,37.22,37.1,37.12,1234,54.674754928776146
2022-02-11 07:35:00-06:00,37.1201,37.25,37.1201,37.2,15121,58.24942505862105
2022-02-11 07:40:00-06:00,37.22,37.35,37.15,37.35,14239,63.98486587057577
2022-02-11 07:45:00-06:00,37.2,37.33,37.2,37.3,3532,60.97782256388009
2022-02-11 07:50:00-06:00,37.3,37.3,37.29,37.3,5633,60.97782256388008
2022-02-11 07:55:00-06:00,37.31,37.33,37.29,37.31,8270,61.398611879136425
2022-02-11 08:00:00-06:00,37.31,37.46,37.27,37.46,276811,67.12515865254642
2022-02-11 08:05:00-06:00,37.46,37.54,37.3999,37.3999,9708,63.086875169571485
2022-02-11 08:10:00-06:00,37.35,37.35,37.3,37.3102,31113,57.52442167484168
2022-02-11 08:15:00-06:00,37.35,37.35,37.26,37.31,2378,57.512245526307595
2022-02-11 08:20:00-06:00,37.3,37.39,37.27,37.27,7635,55.004571172685914
2022-02-11 08:25:00-06:00,37.26,37.27,36.41,36.8,116225,35.44706008563791
2022-02-11 08:30:00-06:00,36.59000015258789,37.29999923706055,36.31999969482422,36.959999084472656,1526922,42.89131573951482
2022-02-11 08:35:00-06:00,36.97999954223633,36.97999954223633,36.459999084472656,36.54499816894531,491884,32.441249067198314
2022-02-11 08:40:00-06:00,36.529998779296875,36.599998474121094,36.119998931884766,36.43000030517578,548257,30.242419221956002
2022-02-11 08:45:00-06:00,36.43000030517578,37.279998779296875,36.380001068115234,37.040000915527344,640391,49.71287257600271
2022-02-11 08:50:00-06:00,37.029998779296875,37.152400970458984,36.69499969482422,36.69499969482422,423573,42.48948147403931
2022-02-11 08:55:00-06:00,36.6974983215332,36.81999969482422,36.2400016784668,36.439998626708984,528200,38.08465914808876
2022-02-11 09:00:00-06:00,36.439998626708984,36.72999954223633,36.26860046386719,36.440399169921875,439420,38.095514930764224
2022-02-11 09:05:00-06:00,36.41999816894531,36.755001068115234,36.220001220703125,36.25,528195,34.95784085013282
2022-02-11 09:10:00-06:00,36.26499938964844,36.349998474121094,35.959999084472656,36.279998779296875,503420,35.85428827841571
2022-02-11 09:15:00-06:00,36.22999954223633,36.29999923706055,35.72999954223633,35.970001220703125,580650,31.08627044653751
2022-02-11 09:20:00-06:00,35.970001220703125,36.2599983215332,35.96039962768555,36.220001220703125,305707,38.22139090786921
2022-02-11 09:25:00-06:00,36.20000076293945,36.349998474121094,35.900001525878906,36.22999954223633,368802,38.49565762510443
