,AMC,AMC,AMC,AMC,AMC
,open,high,low,close,volume
time,,,,,
2022-02-08 08:30:00-06:00,14.89,14.89,14.73,14.785,8930
2022-02-08 08:31:00-06:00,14.805,14.85,14.785,14.81,3928
2022-02-08 08:32:00-06:00,14.85,14.85,14.76,14.775,3920
2022-02-08 08:33:00-06:00,14.78,14.78,14.74,14.75,3311
2022-02-08 08:34:00-06:00,14.69,14.77,14.69,14.77,1923
2022-02-08 08:35:00-06:00,14.89,14.9,14.89,14.9,228
2022-02-08 08:36:00-06:00,15.0,15.05,15.0,15.02,4205
2022-02-08 08:37:00-06:00,15.04,15.04,14.98,15.02,660
2022-02-08 08:38:00-06:00,15.025,15.1,15.025,15.03,750
2022-02-08 08:39:00-06:00,15.04,15.07,15.04,15.07,1773
2022-02-08 08:40:00-06:00,15.05,15.215,15.05,15.215,1061
2022-02-08 08:41:00-06:00,15.12,15.125,15.12,15.125,611
2022-02-08 08:42:00-06:00,15.135,15.135,15.08,15.08,508
2022-02-08 08:43:00-06:00,15.055,15.055,15.045,15.045,202
2022-02-08 08:44:00-06:00,15.13,15.13,15.13,15.13,108
2022-02-08 08:45:00-06:00,15.14,15.14,15.045,15.045,212
2022-02-08 08:46:00-06:00,15.05,15.05,15.05,15.05,113
2022-02-08 08:47:00-06:00,15.11,15.11,15.025,15.025,1311
2022-02-08 08:48:00-06:00,15.035,15.05,15.035,15.04,1482
2022-02-08 08:49:00-06:00,15.04,15.04,14.955,14.955,1073
2022-02-08 08:50:00-06:00,14.97,14.97,14.97,14.97,250
2022-02-08 08:51:00-06:00,14.965,14.99,14.96,14.99,617
2022-02-08 08:52:00-06:00,15.03,15.03,14.975,14.975,595
2022-02-08 08:53:00-06:00,15.01,15.01,14.94,14.94,854
2022-02-08 08:54:00-06:00,14.92,14.92,14.89,14.9,1318
2022-02-08 08:55:00-06:00,14.85,14.89,14.85,14.89,634
2022-02-08 08:56:00-06:00,14.9,14.9,14.9,14.9,1784
